dataset,model,k,accuracy,precision,recall,f1_score,training_time_mean,training_time_std,prediction_time_mean,prediction_time_std,tree_depth,number_of_nodes,number_of_leaves
toy,Greedy,1,0.75,0.8333333333333333,0.75,0.7333333333333334,0.0004886666671761001,2.7539343967993264e-05,4.80000259509931e-06,6.480722683699865e-07,3,5,3
toy,TopK,2,0.75,0.8333333333333333,0.75,0.7333333333333334,0.006961500010220334,0.001322043588561671,5.7333333340163035e-06,7.930311887094367e-07,3,5,3
toy,TopK,3,0.75,0.8333333333333333,0.75,0.7333333333333334,0.00587259999398763,0.00029332744228903034,5.466669487456481e-06,4.4968856388448226e-07,3,5,3
toy,SklearnDecisionTree,NA,0.75,0.8333333333333333,0.75,0.7333333333333334,0.0006608333351323381,0.00012270360876269593,0.00011203333754868557,1.5895561732325656e-05,2,5,3
iris_binary,Greedy,1,1.0,1.0,1.0,1.0,0.0005319666670402512,3.3222915188464496e-05,1.4700005219007531e-05,5.715477152956303e-07,2,3,2
iris_binary,TopK,2,1.0,1.0,1.0,1.0,0.0015577333300219227,4.248641857964223e-05,1.5266661648638546e-05,7.408692349263372e-07,2,3,2
iris_binary,TopK,3,1.0,1.0,1.0,1.0,0.008181200003794705,5.989262551776624e-05,2.033333294093609e-05,3.0879689149221356e-06,2,3,2
iris_binary,SklearnDecisionTree,NA,1.0,1.0,1.0,1.0,0.0006291999986084799,6.256180519058473e-05,0.0001090333341077591,7.4888006565690105e-06,1,3,2
breast_cancer_binary,Greedy,1,0.8713450292397661,0.8777836848012287,0.8713450292397661,0.8726308441959649,0.024499166664706234,0.0015050460050070426,0.00014046666425808022,4.823782222006848e-06,4,15,8
breast_cancer_binary,TopK,2,0.8888888888888888,0.9022596788554235,0.8888888888888888,0.8904178869247145,0.18744116666493937,0.0026888585990218023,0.00014823333185631782,1.0205334991825164e-05,4,15,8
breast_cancer_binary,TopK,3,0.9122807017543859,0.9193212973725899,0.9122807017543859,0.9132364470014273,0.36430243333840434,0.012974896705915919,0.00017769999976735562,4.84686137202768e-05,4,15,8
breast_cancer_binary,SklearnDecisionTree,NA,0.9122807017543859,0.9193212973725899,0.9122807017543859,0.9132364470014273,0.000997033333987929,5.960650134789582e-05,0.0001347666645112137,8.296727862529287e-06,4,29,15
